Query	UserId	Lenth	templateId	templateText	etalon	lem_etalon	score
Добрый день. Уточните условия прощения долга ООО физическому лицу (сотруднику и не сотруднику)	100202	13	490879	Прощение долга, как и любую сделку юридического лица, необходимо совершить в простой письменной форме (подп. 1 п. 1 ст. 161 ГК). Ссылка по вашему вопросу https://www.1fd.ru/#/document/118/79448/actual/	прощение долга сотруднику	прощение долг сотрудник	0.9989671111106873
Добрый день, какой код ставится в статусе плательщика при оплате взносов на травматизм	3498999	13	537736	При уплате налогов, сборов и взносов в ИФНС в платежном документе ставьте статус налогоплательщика «01». Ссылка по вашему вопросу https://www.gosfinansy.ru/#/document/16/137345/actual/	статус плательщика при оплате травматизма	статус плательщик оплата травматизм	0.9955085515975952
Добрый день! Подскажите, пожалуйста, как перенести остатки при реорганизации фирмы в виде присоединения?	18104437	13	460741	Передаточный акт нужен при реорганизации учреждения. Читайте подробнее https://www.gosfinansy.ru/#/document/118/27490/actual/	перенос остатков при реорганизации в форме присоединения	перенос остаток реорганизация форма присоединение	0.9992995262145996
Добрый день. Подскажите порядок удержания штрафов ГБДД с сотрудников, нарушений на служебной машине.	18969385	13	504724	Административные штрафы, в том числе по решению суда, пени, исполнительный сбор уплачивайте по КВР 853. Подробнее см. https://www.gosfinansy.ru/#/document/86/551608/actual/	штраф гбдд КОСГУ	штраф гбдд косг	0.9962507486343384
Добрый день! как можно получить закрывающие документы? в конце срока подписки или ежемесячно?	20338422	13	408948	Чтобы перейти в личный кабинет, нажмите кнопку со своим именем в правом верхнем углу и выберите нужный пункт в меню: «Продукты», «Закрывающие документы», «Активация кода доступа», «Полезное», «Профиль», «Выйти из сервисов Актиона». Далее читайте https://www.1fd.ru/#/document/86/242051/actual/	закрывающие документы подписка	закрывать документ подписка	0.9989447593688965
"добрый день!
Скажите нужно ли подавать уведомление по фиксированным страховым взносам за 2023 год"	6818512	13	0				
Здравствуйте! Мы передаем часть офиса в субаренду. Как нам провести в бухгалтерском учете?	835572	13	0				
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	3523201	12	559897	Уведомление об исчисленных налогах и взносах сдают ежемесячно не позднее 25-го числа месяца в ИФНС. Подробнее смотрите https://www.gosfinansy.ru/#/document/16/140961/actual/	как составить и сдать уведомление по енп с 1 октября 2023 года	составлять и сдавать уведомление енп с 1 октябрь 2023 год	0.9984716176986694
"День добрый.
Подскажите, как можно восстановить трудовую книжку сотрудника, если она была утерена?"	3639026	12	494725	День сдачи крови оплатите исходя из среднего заработка независимо от того, работал сотрудник в день сдачи крови или был освобожден от работы. Читайте подробнее https://www.gosfinansy.ru/#/document/86/530854/actual/	как оплачивать день донорский день	оплачивать день донорский день	0.006632782518863678
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	18794627	12	559897	Уведомление об исчисленных налогах и взносах сдают ежемесячно не позднее 25-го числа месяца в ИФНС. Подробнее смотрите https://www.gosfinansy.ru/#/document/16/140961/actual/	как составить и сдать уведомление по енп с 1 октября 2023 года	составлять и сдавать уведомление енп с 1 октябрь 2023 год	0.9984716176986694
"Добрый день!
Можно ли принять расходы на корпоратив если организация на ОСНО ?"	11389334	12	0				
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	391541	12	559897	Уведомление об исчисленных налогах и взносах сдают ежемесячно не позднее 25-го числа месяца в ИФНС. Подробнее смотрите https://www.gosfinansy.ru/#/document/16/140961/actual/	как составить и сдать уведомление по енп с 1 октября 2023 года	составлять и сдавать уведомление енп с 1 октябрь 2023 год	0.9984716176986694
Беспроцентный займ от физлица не учредителя. Будет ли у ООО внереализационный доход?	4657767	12	397894	В договоре беспроцентного займа между ООО и учредителем необходимо прямо указать, что заем безвозмездный. Вот ссылка по вашему вопросу https://www.1jur.ru/#/document/118/95602/actual/	договор беспроцентного займа от ооо учредителю	договор беспроцентный заем ооо учредитель	0.9984496831893921
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	8093426	12	559897	Уведомление об исчисленных налогах и взносах сдают ежемесячно не позднее 25-го числа месяца в ИФНС. Подробнее смотрите https://www.gosfinansy.ru/#/document/16/140961/actual/	как составить и сдать уведомление по енп с 1 октября 2023 года	составлять и сдавать уведомление енп с 1 октябрь 2023 год	0.9984716176986694
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	112239	12	559897	Уведомление об исчисленных налогах и взносах сдают ежемесячно не позднее 25-го числа месяца в ИФНС. Подробнее смотрите https://www.gosfinansy.ru/#/document/16/140961/actual/	как составить и сдать уведомление по енп с 1 октября 2023 года	составлять и сдавать уведомление енп с 1 октябрь 2023 год	0.9984716176986694
Добрый день. Подскажите пруд в сельском хозяйстве к какой амортизационной группе относится?	4241010	12	547541	Ноутбук – код ОКОФ 330.28.23.23 «Машины офисные прочие». Подробнее в материале https://www.gosfinansy.ru/#/document/16/129601/actual/	к какой амортизационной группе относится ноутбук	какой амортизационный группа относиться ноутбук	0.997187614440918
Подается ли косвенная декларация по импортным поставкам в СЭЗ, ставка НДС 0%	15504160	12	0				
Добрый день! Пришлите пожалуйста образец приказа о назначении ответственного за пожарную безопасность	13219981	12	30467	Поручите обеспечить пожарную безопасность специалисту по пожарной безопасности или назначьте ответственного из числа работников, которые по занимаемой должности или по характеру выполняемых работ являются ответственными за обеспечение пожарной безопасности. Далее читайте https://1obraz.ru/#/document/16/42310/actual/	образец приказа о назначении ответственного по пожарной безопасности	образец приказ назначение ответственный пожарный безопасность	0.9985898733139038
"Добрый день!
как подтвердить что компания на усн если утеренно уведомление о переходе"	13330734	12	0				
Добрый день. Какой срок перечисления НДФЛ по договору аренды в 2023 году?	20500852	12	468154	С 2023 года доход в виде зарплаты признавайте на дату выплаты денег. Вот ссылка по вашему вопросу https://www.gosfinansy.ru/#/document/16/125053/actual/	какие сроки перечисления НДФЛ в 2023 году	какой срок перечисление ндфл 2023 год	0.10216736048460007
Здравствуйте! На что можно тратить денежные средства со специального счета по гособоронзаказу?	2284289	12	423827	Медорганизации расходуют средства ОМС в соответствии со структурой тарифа на оплату медпомощи. Далее читайте https://glv.action360.ru/#/document/16/36774/actual/	как тратить денежные средства по омс	тратить денежный средство омс	0.16062293946743011
добрый день! Квартира в жилом монолитном доме. к какой группе амортизационной относится	7016075	12	547541	Ноутбук – код ОКОФ 330.28.23.23 «Машины офисные прочие». Подробнее в материале https://www.gosfinansy.ru/#/document/16/129601/actual/	к какой амортизационной группе относится ноутбук	какой амортизационный группа относиться ноутбук	0.9965464472770691
как составить и сдать уведомление по енп с 01 октября 2023	351493	11	559897	Уведомление об исчисленных налогах и взносах сдают ежемесячно не позднее 25-го числа месяца в ИФНС. Подробнее смотрите https://www.gosfinansy.ru/#/document/16/140961/actual/	как составить и сдать уведомление по енп с 1 октября 2023 года	составлять и сдавать уведомление енп с 1 октябрь 2023 год	0.9997333288192749
Добрый день! Подскажите на какой счет отнести затраты по банковской гарантии	15775781	11	494405	Независимую, в том числе банковскую, гарантию, которая поступила как обеспечение заявки или исполнения контракта, учитывайте на забалансовом счете 10 «Обеспечение исполнения обязательств». Далее см. https://www.gosfinansy.ru/#/document/86/529949/actual/	на какой счет отнести банковскую гарантию	какой счет относить банковский гарантия	0.9981132745742798
как составить и сдать уведомление по енп с 1 октября 2023	18735744	11	559897	Уведомление об исчисленных налогах и взносах сдают ежемесячно не позднее 25-го числа месяца в ИФНС. Подробнее смотрите https://www.gosfinansy.ru/#/document/16/140961/actual/	как составить и сдать уведомление по енп с 1 октября 2023	составлять и сдавать уведомление енп с 1 октябрь 2023	1.000000238418579
надо ли уведомлять военкомат о новом сотрудники, какие санкции если да	19093440	11	559133	Если приняли или уволили работника, который подлежит воинскому учету, сообщите эти сведения в военкомат в течение пяти дней со дня, как приняли или уволили работника. Вот ссылка по вашему вопросу https://www.1kadry.ru/#/document/86/644477/actual/	в какой срок уведомить военкомат об увольнении сотрудник	какой срок уведомлять военкомат увольнение сотрудник	0.9985384941101074
могут ли субъекты среднего предпринимательства применять пониженные тарифы по страховым взносам	1619525	11	512173	Право на пониженные тарифы страховых взносов зависит от статуса работодателя и вида деятельности. Вот ссылка по вашему вопросу https://1gd.ru/#/document/86/567106/actual/	кто применяет пониженные тарифы страховых взносов	кто применять пониженный тариф страховой взнос	0.9854612946510315
.добрый день. Просьба прислать образец бланка путевого листа, действующего с 01.09.2023г.	17422717	11	550977	Форму бумажного путевого листа разработайте самостоятельно и утвердите в учетной политике. Смотрите подробнее https://www.gosfinansy.ru/#/document/86/629379/actual/	образец заполнения путевого листа с изменениями с 01.09.2023г.	образец заполнение путевый лист с изменение с 01 09 2023г	0.9991302490234375
Добрый день. Как произвести расчет компенсации за несвоевременную выплату заработной платы?	5962500	11	535304	Денежную компенсацию за задержку зарплаты, которую платите добровольно или по судебному решению, отразите по КВР 853 и КОСГУ 296. Вот ссылка по вашему вопросу https://www.gosfinansy.ru/#/document/86/602451/actual/	компенсация за несвоевременную выплату заработной платы косгу	компенсация несвоевременный выплата заработный плата косг	0.009209824725985527
До какой даты действует статус налогоплательщика 02 в платежных поручениях?	756526	10	537736	При уплате налогов, сборов и взносов в ИФНС в платежном документе ставьте статус налогоплательщика «01». Ссылка по вашему вопросу https://www.gosfinansy.ru/#/document/16/137345/actual/	статус налогоплательщика в платежном поручении	статус налогоплательщик платежный поручение	0.9830911159515381
Как правильно оприходовать пожертвование в виде основного средства? Бухгалтерские проводки	19379206	10	492462	Пожертвования в натуральной форме учтите по дебету счета 100.00, в зависимости от вида актива: основные средства – 101.ХХ, матзапасы – 105.ХХ, НМА – 102.ХХ и т.д. По кредиту будет счет  корреспонденции со счетом 401.10. Далее см. https://www.gosfinansy.ru/#/document/86/526296/actual/	оприходовать основные средства пожертвование	оприходовать основной средство пожертвование	0.9984241127967834
подскажите пожалуйста а/м штрафы ГИБДД не учитываются для уменьшения налогообложения?	600232	10	504725	Штрафы в ГИБДД оплачивайте по КВР 853, в учете проводите по КОСГУ 295. Вот ссылка по вашему вопросу https://www.gosfinansy.ru/#/document/12/456383/actual/	штраф гибдд	штраф гибдд	0.9986374378204346
как составить и сдать уведомление по енп с 1 октября	9317806	10	559897	Уведомление об исчисленных налогах и взносах сдают ежемесячно не позднее 25-го числа месяца в ИФНС. Подробнее смотрите https://www.gosfinansy.ru/#/document/16/140961/actual/	как составить и сдать уведомление по енп с 1 октября 2023	составлять и сдавать уведомление енп с 1 октябрь 2023	0.9998980760574341
Добрый день! Как выплатить дивиденды за 2022 год в текущем?	2248842	10	451500	С 1 апреля до 1 октября 2022 года из-за моратория на банкротство нельзя платить дивиденды, доходы по долям, а также распределять прибыль между учредителями должника. Читайте подробнее https://www.1jur.ru/#/document/86/469040/actual/	можно ли выплатить дивиденды в мае 2022 года	выплачивать дивиденд май 2022 год	0.999337911605835
как составить и сдать уведомление по енп с 01 октября	188266	10	559897	Уведомление об исчисленных налогах и взносах сдают ежемесячно не позднее 25-го числа месяца в ИФНС. Подробнее смотрите https://www.gosfinansy.ru/#/document/16/140961/actual/	как составить и сдать уведомление по енп с 1 октября 2023	составлять и сдавать уведомление енп с 1 октябрь 2023	0.9989374876022339
как составить и сдать уведомление по ЕНП с 1 октября	3857040	10	559897	Уведомление об исчисленных налогах и взносах сдают ежемесячно не позднее 25-го числа месяца в ИФНС. Подробнее смотрите https://www.gosfinansy.ru/#/document/16/140961/actual/	как составлять уведомление по енп с 1 октября	составлять уведомление енп с 1 октябрь	0.998870849609375
Добрый день! надо заполнить форму - требуется Единый казначейский счет	623278	10	518594	Спецсчет Казначейства (УФК) для коммерческой организации — это расчетный счет для оплаты государственных и муниципальных закупок. Ссылка по вашему вопросу https://1prosale.ru/#/document/86/577164/actual/	казначейский счет	казначейский счет	0.6846228837966919
как составить и сдать уведомление по енп с 1 октября	4598816	10	559897	Уведомление об исчисленных налогах и взносах сдают ежемесячно не позднее 25-го числа месяца в ИФНС. Подробнее смотрите https://www.gosfinansy.ru/#/document/16/140961/actual/	как составить и сдать уведомление по енп с 1 октября 2023	составлять и сдавать уведомление енп с 1 октябрь 2023	0.9998980760574341
здравствуйте, вышлите пожалуйста образец заполнения платежного поручения оплаты услуг самозанятому	14750921	10	537382	С 15.05.2023 в поле «Получатель» нужно указывать – «Казначейство России (ФНС России)» (сообщение ФНС). Смотрите подробнее https://www.gosfinansy.ru/#/document/118/125137/actual/	образец заполнения платежного поручения для оплаты енп	образец заполнение платежный поручение оплата енп	0.00506197102367878
Добрый день. Вопрос: нужен ли путевой лист на электропогрузчик ?	4084612	10	555615	Путевой лист нужен, чтобы подтвердить маршрут следования и техническую исправность ТС, а также меддопуск водителя. Далее см. https://www.1jur.ru/#/document/86/637876/actual/	всегда ли нужен ли путевой лист	всегда ли ли путевой лист	0.9988364577293396
Добрый день! Как в 1С настроить вкладку ведение налогового учета	20168879	10	549654	В 1С вы можете настроить три новые функции по расчетам с контрагентами:контроль сроков обязательств;проверку статуса контрагента;типовые операции для приемки.Эти настройки помогут вести учет по обновленной Инструкции № 157н – вести расширенную аналитику в расчетах с контрагентами и автоматически проверять их задолженность по требованию Минфина, отражать приемку через резерв, когда документы не подписаны. Подробнее в материале https://www.gosfinansy.ru/#/document/86/631031/actual/	какие функции из 1с настроить в учете	какой функция 1с настраивать учет	0.9966753721237183
Добрый день. Какие документы необходимы для получения патента гражданину Таджикистана?	13463437	10	558785	Сотрудник должен принести обязательные документы: паспорт или другой документ, который удостоверяет личность, СНИЛС, документы воинского учета, документы об образовании, трудовую книжку. Ссылка по вашему вопросу https://www.1kadry.ru/#/document/16/140778/actual/	перечень документов для приема гражданина таджикистана	перечень документ прием гражданин таджикистан	0.016835682094097137
добрый день. образец приказа по отпуску по беременности и родам	471463	10	448740	Оформите приказ на отпуск по беременности и родам если сотрудница хочет получить декретный отпуск и соответствующее пособие. Далее см. https://www.gosfinansy.ru/#/document/118/19821/actual/	образец приказа на отпуск по беременности и родам	образец приказ отпуск беременность и род	0.9999154806137085
Здравствуйте! Подскажите платежки со статусом 02 отменили с какого времени?	3465255	10	556280	Сможете платить ЕНП только по платежным документам со статусом налогоплательщика «01» и подавать уведомление об исчисленных налогах. Подробнее см. https://www.gosfinansy.ru/#/document/16/139630/actual/	отменили платежки со статусом 02	отменять платежок со статус 02	0.9998689889907837
Как заполнить путевой лист с 1 сентября 2023 года	20369075	9	550972	Бланк путевого листа с обязательными реквизитами разработайте самостоятельно. Смотрите подробнее https://www.gosfinansy.ru/#/document/16/139740/actual/	Как заполнить путевой лист с 1 сентября 2023 года	заполнять путевой лист с 1 сентябрь 2023 год	1.0000001192092896
пособие при постановке на учет в ранние сроки беременности	2451274	9	516451	Пособие по беременности и родам, пособие при рождении ребенка и по уходу за ребенком до 1,5 лет выплачивает напрямую Социальный фонд, поэтому расходов в учреждении с применением КОСГУ не будет. Подробнее в материале https://www.gosfinansy.ru/#/document/16/132699/actual/	пособие за ранние сроки беременности квр	пособие ранний срок беременность квр	0.9960529804229736
прием на работу сотрудника, который ранее утерял трудовую книжку	2777097	9	498602	Если сотрудник потерял трудовую книжку, то должен подать заявление о выдаче дубликата трудовой книжки по последнему месту работы. Подробнее смотрите https://www.1kadry.ru/#/document/16/129344/actual/	прием сотрудника, если трудовая книжка утеряна	прием сотрудник трудовой книжка утерять	0.9996771812438965
можно ли учесть в расходах гсм без путевых листов	229703	9	516566	В путевом листе норму списания и фактический расход ГСМ, а также его остаток отражайте в поле «Движение горючего». Ссылка по вашему вопросу https://www.gosfinansy.ru/#/document/86/573424/actual/	норма расхода гсм в путевом листе	норма расход гсм путевой лист	0.9990065097808838
как составить уведомление по енп с 01 октября 2023	5172478	9	561978	 С 1 октября 2023 года новые правила для уведомлений по ЕПН. Подробнее в материале https://www.gosfinansy.ru/#/document/16/140961/actual/	уведомление по енп на 01 октября	уведомление енп 01 октябрь	0.999428927898407
За какой предыдущий период проводит ФНС при выездной проверке	341516	9	559083	Чтобы подготовиться к налоговой проверке, нужно предположить, что налоговики собираются проверять. Ссылка по вашему вопросу https://www.1jur.ru/#/document/16/140848/actual/	выездная налоговая проверка какой период могут проверить	выездной налоговый проверка какой период мочь проверять	0.9975936412811279
как изменится работа с эцп с 1 сентября 2023г	8530574	9	553819	В сентябре вступают в силу более 25 изменений: в путевых листах, медосмотрах, эксплуатации транспорта, налогах, СИЗ, ЭЦП и др. В справочнике – сравнение старых и новых правил, а также разъяснения, как работать в новых условиях. Подробнее в материале https://www.gosfinansy.ru/#/document/16/139888/actual/	что измениться с 1 сентября 2023г	изменяться с 1 сентябрь 2023г	0.06744779646396637
Добрый день, подскажите пожалуйста как сменить директора в ООО.	16210087	9	434296	Составить заявление о смене директора нужно по специальной форме № Р13014. Далее читайте https://www.1jur.ru/#/document/86/448385/actual/	как сменить директора ооо	сменить директор ооо	0.9976871013641357
Доверенность на право подписи документов за генерального директора образец	290271	9	518461	Чтобы другой работник на время заменил отсутствующего руководителя, нужно составить доверенность и указать в ней дату. Далее читайте https://www.1jur.ru/#/document/118/18508/actual/	доверенность от генерального директора генеральная на право подписи	доверенность генеральный директор генеральный право подпись	0.9987187385559082
Добрый день. Подскажите с 2023г сроки оплаты страховых взносов	12741875	9	505374	Срок уплаты страховых взносов за текущий месяц – не позднее 28-го числа следующего месяца (п. 3 ст. 431 НК). Подробнее смотрите https://www.gosfinansy.ru/#/document/86/553328/actual/	сроки оплаты страховых взносов	срок оплата страховой взнос	0.98920077085495
