Query	UserId	Lenth	templateId	templateText	etalon	lem_etalon	score
Добрый день. Подскажите, пожалуйста. какую сумму НДФЛ в уведомлении енп указывать: начисленную или уплаченную?	17676552	14	552427	В каждом месяце свой перечень налогов и взносов, по которым нужно сдать уведомление. Далее см. https://vip.1gl.ru/#/document/16/139905/actual/	какую сумму ндфл указывать в уведомлении по енп за февраль	какой сумма ндфл указывать уведомление енп февраль	0.9914007186889648
чтобы закрыть ИП на Осно какие отчеты нужно сдать перед подачей заявления на закрытие?	9318274	14	0				
нужно ли подавать уведомление за 2 квартал по УСН(15%), если за полугодие уменьшение налога	6236371	14	552478	По итогам отчетного периода авансовый платеж по УСН может быть меньше суммы авансов за предыдущие отчетные периоды, поэтому возникает сумма платежа к уменьшению. Далее см. https://vip.1gl.ru/#/document/86/631885/actual/	как подать уведомление по усн за 2 квартал если сумма налога к уменьшению	подавать уведомление усна 2 квартал сумма налог уменьшение	0.9980957508087158
Подскажите, где в НК прописано, что счет-фактура на аванс должна быть привязана к оплатам?	18435993	14	478798	Если покупатель перечисляет аванс, продавец выставляет ему счет-фактуру на полученную сумму. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/74954/actual/	что должно быть прописано в счет фактуре на аванс	должно быть прописывать счет фактура аванс	0.9966322183609009
Добрый день. Начисляется ли НДФЛ на компенсацию использование работником личного автомобиля для служебных целей	4719125	14	522161	Сумму компенсации за использование автомобиля и иного имущества в служебных целях не отражайте в 6-НДФЛ, если размер такой компенсации согласовали работодатель и сотрудник. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/133564/actual/	компенсация за использование личного автомобиля в служебных целях в 6-ндфл	компенсация использование личный автомобиль служебный цель 6 ндфл	0.1494532823562622
Какие коммерческие организации должны пройти обязательный аудит по итогам 23 года , какие критерии	3667766	14	0				0.0
Скажите пожалуйста, по каким реквизитам перечислять взносы на травматизм по Мо, г. Истра.	745653	13	536273	С 1 января 2023 года страховые взносы на травматизм уплачивают в Социальный фонд России. Смотрите подробнее https://vip.1gl.ru/#/document/16/137116/actual/	по каким реквизитам перечислять страховые взносы на травматизм	какой реквизит перечислять страховой взнос травматизм	0.9985687732696533
Добрый день! Подскажите, до какой предельной суммы начисления применяются вычеты НДФЛ за ребенка?	1713901	13	550440	Стандартный вычет на ребенка предоставляйте до месяца, в котором доходы, полученные сотрудником с начала года, превысят 350 000 руб. Считайте только доходы резидентов, к которым применяют стандартный вычет. Подробнее в материале https://vip.1gl.ru/#/document/86/627606/actual/	предельная сумма вычетов на детей	предельный сумма вычет ребенок	0.9984750747680664
Может ли компания принять расходы по текущему ремонту арендованного автомобиля в налоговом учете	12843887	13	496664	В рамках договора аренды арендатор может проводить текущий и капитальный ремонт. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/129003/actual/	расходы на ремонт арендованного автомобиля	расход ремонт арендовать автомобиль	0.9996645450592041
как отразить беспроцентный займ от организации в другую организацию в бу и ну?	12717601	13	540438	Беспроцентный денежный заем можно выдать как организации, так и физлицу, в том числе директору и иному сотруднику, собственнику бизнеса. Подробнее см. https://vip.1gl.ru/#/document/86/610537/actual/	может ли организация предоставить займ беспроцентный другой организации	организация предоставлять заем беспроцентный другой организация	0.9996422529220581
Добрый день. Уточните условия прощения долга ООО физическому лицу (сотруднику и не сотруднику)	100202	13	0				0.0
добрый день, вопрос следующий , все ли детские товары попадают под ндс 10%	5863340	13	528896	При реализации на внутреннем рынке и при ввозе (импорте) ряда товаров применяют ставку НДС 10 процентов. Далее см. https://vip.1gl.ru/#/document/86/594021/actual/	ндс 10% на детские товары	ндс 10 детский товар	0.9949513673782349
Добрый день! УСН доходы , какая налоговая ставка для ИП в Элисте ?	20235820	13	503982	Ставки налога на упрощенке зависят от объекта налогообложения, региона и категории налогоплательщика, величины дохода и численности работников. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/130461/actual/	налоговая ставка усн доходы - расходы	налоговый ставка усна доход расход	0.9974637031555176
Может ли директор дать ООО беспроцентный займ наличными средствами? Как это правильно оформить?	768024	13	540438	Беспроцентный денежный заем можно выдать как организации, так и физлицу, в том числе директору и иному сотруднику, собственнику бизнеса. Подробнее см. https://vip.1gl.ru/#/document/86/610537/actual/	может ли ооо дать займ беспроцентный сотруднику	ооо давать заем беспроцентный сотрудник	0.9995588660240173
Добрый день, какой код ставится в статусе плательщика при оплате взносов на травматизм	3498999	13	0				0.0
Добрый день! Подскажите, пожалуйста, как перенести остатки при реорганизации фирмы в виде присоединения?	18104437	13	0				0.0
Добрый день! Какой период с момента открытия организации директор может работать без зарплаты?	18651254	13	511933	Если директор работает в компании по трудовому договору, ему нужно платить зарплату. Подробнее в материале https://vip.1gl.ru/#/document/86/565908/actual/	может ли директор работать без зарплаты	директор работать без зарплата	0.9985423684120178
Добрый день! Как можно сдать декларации по УСН или ЕСХН при закрытии ИП?	5235588	13	445533	В НК прямо не установлено, в какие сроки представлять декларацию по УСН при ликвидации организации и закрытии ИП, поэтому можно самим решить, в какой срок сдать отчет. Подробнее в материале https://vip.1gl.ru/#/document/86/460554/actual/	когда нужно сдать декларацию по усн при закрытии ип	когда сдавать декларация усна закрытие ипать	0.9971221089363098
Добрый день. Подскажите порядок удержания штрафов ГБДД с сотрудников, нарушений на служебной машине.	18969385	13	0				0.0
Здравствуйте, как платить аванс если сотрудник был в отпуске в первой половине месяца?	6318566	13	500889	Выплатите сотруднику зарплату за первую половину за отработанное время. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/453414/actual/	можно ли платить аванс если сотрудник был первую половину в отпуске	платить аванс сотрудник быть первый половина отпуск	0.9992898106575012
Добрый день, может ли работодатель возместить сотруднику оплату за абонемент в фитнесс зал?	9647800	13	498599	Компенсацию расходов сотрудников на занятия спортом в клубах или секциях не учитывайте при расчете налога на прибыль. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/537327/actual/	налогообложение абонементов в спорт зал	налогообложение абонемент спорт зал	0.9995895624160767
добрый день вопрос кто и как проводит проверку на обесценение запасов и ОС	17421440	13	547156	Проверять на обесценение товары, готовую продукцию, материалы и незавершенку на конец года, а также перед промежуточной отчетностью должны все компании, кроме тех, у кого право на упрощенный бухучет. Подробнее смотрите https://vip.1gl.ru/#/document/16/138953/actual/	проведение проверки на обесценение запасов и ос	проведение проверка обесценение запас и ос	0.9994103908538818
Добрый день! как можно получить закрывающие документы? в конце срока подписки или ежемесячно?	20338422	13	0				0.0
Доброе утро. Как пересдать корректирующий отчёт по рсв. Был указан не правильный снилс	471463	13	531935	Уточненный РСВ сдавайте по той же форме, что и первичный. Далее см. https://vip.1gl.ru/#/document/16/136398/actual/	корректировка рсв неверно указан снилс работника	корректировка рсв неверно указывать снилс работник	0.9992736577987671
Здравствуйте! Нужно ли подтверждать ежегодно вычеты на детей, обучающиеся в высшем учебном заведении?	287977	13	464479	Чтобы получить стандартный вычет по НДФЛ на ребенка, сотрудник должен написать заявление, а также представить документы, подтверждающие право на вычет. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/111535/actual/	нужно ли ежегодно подтверждать вычет на детей документами	ли ежегодно подтверждать вычет ребенок документ	0.9993293285369873
проводки у лизингополучателя, когда по соглашению с лизингодателем передает имущество в другую организацию	6424928	13	542970	Лизингополучатель признает объект аренды как актив по дебету счета 01 субсчет «Право пользования активом» с одновременным учетом обязательства по аренде по кредиту счета 76. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/615139/actual/	лизинг на балансе лизингодателя проводки у лизингополучателя	лизинг баланс лизингодатель проводка лизингополучатель	0.9982297420501709
Добрый день! Можно подробные формулы и пояснения как руками рассчитать налог на прибыль?	953442	13	533827	Пояснения по налогу на прибыль составьте в произвольной форме. Далее см. https://vip.1gl.ru/#/document/86/600501/actual/	пояснения по налогу на прибыль и ддс	пояснение налог прибыль и ддс	0.9926515817642212
Вопрос. Платеж по системе СБП физическому лицу. Нужно ли пробивать чек по онлайн-кассе?	4264533	13	562398	QR-код – обязательный реквизит чека (п. 1 ст. 4.7 Закона от 22.05.2003 № 54-ФЗ). Подробнее см. https://vip.1gl.ru/#/document/86/649946/actual/	нужно ли по онлайн кассе пробивать чеки, ели оплата по ку ар коду	онлайн касса пробивать чек есть оплата ку ар код	0.997031569480896
добрый день . нужен образец ходатайство о продлении патента иностранного гражданина образец 2023	2052020	13	527071	Для переоформления патента безвизовый иностранец представляет ходатайство лично или через специализированную организацию в территориальный орган Главного управления по вопросам миграции МВД в составе пакета прочих документов.Документы представляют максимум за 10 рабочих дней до того, как истечет срок первого патента. Подробнее смотрите https://vip.1gl.ru/#/document/118/122835/actual/	ходатайство на продление патента иностранного гражданина	ходатайство продление патент иностранный гражданин	0.9989608526229858
Добрый день! подскажите пожалуйста КБК по страховым взносам на травматизм в 2023 г	72705	13	563707	В 2023 году налоги и взносы перечисляют на новый КБК единого налогового платежа. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/141658/actual/	кбк страховых взносов на травматизм	кбк страховой взнос травматизм	0.9974637627601624
Вопрос: проводили спецоценку рабочих мест в 2018г., через какое время необходимо проводить заново?	289033	13	544605	Спецоценку должны организовать и провести все предприятия, где есть хотя бы один работник по трудовому договору. Подробнее см. https://vip.1gl.ru/#/document/16/134814/actual/	как провести спецоценку рабочих мест	проводить спецоценка рабочий место	0.9990642666816711
"добрый день!
Скажите нужно ли подавать уведомление по фиксированным страховым взносам за 2023 год"	6818512	13	0				
Добрый день! Компания для сотрудников приобрела абонементы фитнесс клуб, как учесть их ?	3318881	13	498596	Возмещать сотрудникам затраты на занятия спортом в клубах и секциях можно в качестве одного из мероприятий по улучшению охраны и условий труда. Далее см. https://vip.1gl.ru/#/document/16/129342/actual/	абонементы в спорт клуб	абонемент спорт клуб	0.9994510412216187
Добрый день. Вопрос по учёту шин ТС в организации. Прошу подсказать документальное оформление.	18969385	13	478508	Состав документов по учету шин зависит от операции. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/407281/actual/	ремонт шин документальное оформление	ремонт шина документальный оформление	0.9879612326622009
У упрощенца есть покупки и реализация с ндс.Декларацию заполнять? Книги регистрировать? НДС платить?	5970815	13	558986	В книге продаж счета-фактуры регистрируют только плательщики НДС (п. 3 ст. 169 НК). Смотрите подробнее https://vip.1gl.ru/#/document/86/643982/actual/	декларация по ндс упрощенцу	декларация ндс упрощенец	0.055466655641794205
При каких условиях мы может принять счёт-фактуру на аванс от поставщика к учёту?	18740308	13	478798	Если покупатель перечисляет аванс, продавец выставляет ему счет-фактуру на полученную сумму. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/74954/actual/	счет фактура на аванс можем не принимать	счет фактура аванс мочь не принимать	0.99125075340271
Добрый день! Подскажите пожалуйста нужно в справке о стоимости ущерба включать НДС? Спасибо!	1892653	13	457035	Помимо акта на практике составляют справку об ущербе, которая подтвердит размер причиненного ущерба. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/464534/actual/	справка о стоимости ущерба	справка стоимость ущерб	0.9996378421783447
Добрый день! Автомобиль в лизинге. Расходы на содержание автомобиля уменьшают налог на прибыль?	9356784	13	516691	В бухучете затраты на содержание служебного автомобиля по общему правилу формируют расходы, связанные с обычными видами деятельности (п. 5 и 7 ПБУ 10). Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/573513/actual/	расходы на содержания автомобиля	расход содержание автомобиль	0.8379038572311401
Добрый день , какой отчет надо сдавать в военкоматы , если мы ООО	8708357	13	550202	Дополнительные отчеты о воинском учете и бронировании в 2023 году. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/627312/actual/	какие отчеты надо сдавать в военкомат	какой отчет надо сдавать военкомат	0.9878060817718506
Добрый вечер! Подскажите проводки по начислению недоимки по итогам выездной проверки по НДС.	13231787	13	527018	Ошибки в бухучете могут привести к недоплате налогов. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/589814/actual/	как учесть недоимку и штраф по итогам налоговой проверки	учитывать недоимка и штраф итог налоговый проверка	0.9987591505050659
Здравствуйте! Принимаются ли расходы на страхование ОСАГО транспортного средства (экскаватора) при УСН доходы-расходы?	8243619	13	497997	При УСН с объектом «доходы» авансовый платеж и налог уменьшают на обязательные взносы на пенсионное, медицинское и социальное страхование работников (подп. 1 п. 3.1 ст. 346.21 НК). Читайте подробнее https://vip.1gl.ru/#/document/86/535830/actual/	расходы на страхования авто осаго принимаются в усн	расход страхование авто осаго приниматься усна	0.9969069957733154
Есть ли предельная сумма отчислений в резерв на оплату отпусков в налоговом учете	1619525	13	426860	Расчет ежемесячного процента отчислений в резерв предстоящих расходов на оплату отпусков прописан в абзаце 2 пункта 1 статьи 324.1 НК. Далее см. https://vip.1gl.ru/#/document/86/314974/actual/	предельная сумма отчислений в резерв по отпускам	предельный сумма отчисление резерв отпуск	0.9988211393356323
Здравствуйте! А есть образец согласия на обработку персональных данных при приеме на работу?	270766	13	559494	Если вы собираетесь обрабатывать персональные данные сотрудника, возьмите у него письменное согласие. Подробнее в материале https://vip.1gl.ru/#/document/86/645090/actual/	образец согласия на обработку персональных данных при приеме на работу	образец согласие обработка персональный данные прием работа	0.9987019896507263
Добрый день! Как подать корректировку в уведомлении, если изменилась сумма налога ( уменьшилась)	7997305	13	552424	При ошибке в уведомлении об исчисленных налогах и взносах, направьте в налоговую инспекцию новое уведомление с верными реквизитами. Далее читайте https://vip.1gl.ru/#/document/86/631835/actual/	как подать корректировку уведомления об исчисленных суммах налогов	подавать корректировка уведомление исчислять сумма налог	0.9956523180007935
Можно ли включить транспортные расходы по доставке основного средства в расходы текущего периода,	7741197	13	478674	Учет транспортных расходов зависит от нескольких факторов. Подробнее смотрите https://vip.1gl.ru/#/document/16/121357/actual/	отражение транспортных расходов по доставке	отражение транспортный расход доставка	0.9992573857307434
Добрый день. Физлицо принято по договору ГПХ. Нужно ли на него сдавать ЕФС-1?	19108763	13	513480	Заполните подраздел 1.1. подраздела 1 формы ЕФС-1 по каждому исполнителю, с которым заключили договор ГПХ. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/444114/actual/	как сдать ефс-1 договор гпх	сдавать ефс 1 договор гпх	0.9946422576904297
Здравствуйте! Мы передаем часть офиса в субаренду. Как нам провести в бухгалтерском учете?	835572	13	0				
как ИП получить выплату на ребенка до 1,5 лет?у ИП же нет 2ндфл?	811234	13	505965	ИП, который добровольно зарегистрирован в СФР и уплатил добровольные взносы в предыдущем году, вправе получить пособие по уходу за ребенком до 1,5 лет. Далее читайте https://vip.1gl.ru/#/document/86/555386/actual/	как ип может получить пособие до 1,5 лет	ипать мочь получать пособие 1 5 год	0.979029655456543
Какой срок для подачи уточненных налоговых деклараций (к доначислению НДС) по исправлению ошибок?	5463825	13	558586	Срок подачи уточненной декларации в связи с переплатой НДС законодательно не установлен. Подробнее смотрите https://vip.1gl.ru/#/document/86/643377/actual/	срок подачи уточненной декларации по ндс	срок подача уточнять декларация ндс	0.9968649744987488
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	3523201	12	0				0.0
Добрый день, можем ли мы принять на работу работника без военного билета?	181529	12	550964	Если соискатель не предъявил при приеме на работу документы воинского учета, в частности, военный билет, то это не будет основанием для отказа в трудоустройстве. Далее см. https://vip.1gl.ru/#/document/12/481992/actual/	Можем ли мы принять сотрудника без военного билета?	мы принимать сотрудник без военный билет	0.9984641075134277
"День добрый.
Подскажите, как можно восстановить трудовую книжку сотрудника, если она была утерена?"	3639026	12	0				0.0
Добрый день, нужна форма: справка работнику о доходах за последние 3 месяца.	3656555	12	514222	Все налоговые агенты по НДФЛ обязаны по итогам года представить в ИФНС сведения о доходах и суммах налога физлица. Смотрите подробнее https://vip.1gl.ru/#/document/16/132360/actual/	справка о доходах за 3 месяца	справка доход 3 месяц	0.989561915397644
Добрый день, помогите найти решение единственного учредителя об утверждении окончательного ликвидационного баланса	16210087	12	444805	Сдайте по форме, рекомендованной ФНС.Типовые формы промежуточного и окончательного ликвидационных балансов не утверждены. Подробнее смотрите https://vip.1gl.ru/#/document/12/355541/actual/	как составить окончательный ликвидационный баланс	составлять окончательный ликвидационный баланс	0.9963136911392212
Добрый день. Подскажите, что нужно сдавать в военкомат какие уведомления или отчеты?	14998762	12	550205	Сдавайте в военкомат карточку учета организации по форме № 18. Подробнее см. https://vip.1gl.ru/#/document/86/627312/actual/	какой отчет нужно сдавать в военкомат	какой отчет сдавать военкомат	0.9940286874771118
как расчитать авансовый платеж по транспортному налогу в 2023 по г Москве	1821819	12	509071	Если отчетные периоды установлены региональным законом, то в течение года организация должна рассчитывать авансовые платежи. Подробнее см. https://vip.1gl.ru/#/document/86/561213/actual/	транспортный налог авансовые платежи в москве	транспортный налог авансовый платеж москва	0.9987329840660095
Как составить и сдать уведомление по ЕНП с 1 октября 2023 года	18794627	12	0				0.0
"Добрый день!
Можно ли принять расходы на корпоратив если организация на ОСНО ?"	11389334	12	0				
Здравствуйте. Нужно ли подавать нулевые персонифицированные сведения, если у компании нет сотрудников?	4524827	12	521139	Персонифицированные сведения о физлицах в ИФНС надо сдавать, даже если нет штатных сотрудников и подрядчиков. Подробнее смотрите https://vip.1gl.ru/#/document/86/551283/actual/	нужно ли отправлять нулевые персонифицированные сведения сотрудников нет	нулевой персонифицировать сведение сотрудник нет	0.9998635649681091
