Query	UserId	Lenth	templateId	templateText	etalon	lem_etalon	score	LemQuery	LenQuery	LenEtalon
Добрый день! Как можно сдать декларации по УСН или ЕСХН при закрытии ИП?	5235588	13	445533	В НК прямо не установлено, в какие сроки представлять декларацию по УСН при ликвидации организации и закрытии ИП, поэтому можно самим решить, в какой срок сдать отчет. Подробнее в материале https://vip.1gl.ru/#/document/86/460554/actual/	когда нужно сдать декларацию по усн при закрытии ип	когда сдавать декларация усна закрытие ипать	0.99712210893631	можно сдавать декларация усна или есхн закрытие ипать	8	6
Здравствуйте, как платить аванс если сотрудник был в отпуске в первой половине месяца?	6318566	13	500889	Выплатите сотруднику зарплату за первую половину за отработанное время. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/453414/actual/	можно ли платить аванс если сотрудник был первую половину в отпуске	платить аванс сотрудник быть первый половина отпуск	0.999289810657501	платить аванс сотрудник быть отпуск первый половина месяц	8	7
Добрый день, может ли работодатель возместить сотруднику оплату за абонемент в фитнесс зал?	9647800	13	498599	Компенсацию расходов сотрудников на занятия спортом в клубах или секциях не учитывайте при расчете налога на прибыль. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/537327/actual/	налогообложение абонементов в спорт зал	налогообложение абонемент спорт зал	0.999589562416077	работодатель возмещать сотрудник оплата абонемент фитнесс зал	7	4
добрый день вопрос кто и как проводит проверку на обесценение запасов и ОС	17421440	13	547156	Проверять на обесценение товары, готовую продукцию, материалы и незавершенку на конец года, а также перед промежуточной отчетностью должны все компании, кроме тех, у кого право на упрощенный бухучет. Подробнее смотрите https://vip.1gl.ru/#/document/16/138953/actual/	проведение проверки на обесценение запасов и ос	проведение проверка обесценение запас и ос	0.999410390853882	кто и проводить проверка обесценение запас и ос	8	6
Доброе утро. Как пересдать корректирующий отчёт по рсв. Был указан не правильный снилс	471463	13	531935	Уточненный РСВ сдавайте по той же форме, что и первичный. Далее см. https://vip.1gl.ru/#/document/16/136398/actual/	корректировка рсв неверно указан снилс работника	корректировка рсв неверно указывать снилс работник	0.999273657798767	пересдавать корректировать отчет рсв быть указывать не правильный снилс	9	6
Здравствуйте! Нужно ли подтверждать ежегодно вычеты на детей, обучающиеся в высшем учебном заведении?	287977	13	464479	Чтобы получить стандартный вычет по НДФЛ на ребенка, сотрудник должен написать заявление, а также представить документы, подтверждающие право на вычет. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/111535/actual/	нужно ли ежегодно подтверждать вычет на детей документами	ли ежегодно подтверждать вычет ребенок документ	0.999329328536987	подтверждать ежегодно вычет ребенок обучающийся высокий учебный заведение	8	6
проводки у лизингополучателя, когда по соглашению с лизингодателем передает имущество в другую организацию	6424928	13	542970	Лизингополучатель признает объект аренды как актив по дебету счета 01 субсчет «Право пользования активом» с одновременным учетом обязательства по аренде по кредиту счета 76. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/615139/actual/	лизинг на балансе лизингодателя проводки у лизингополучателя	лизинг баланс лизингодатель проводка лизингополучатель	0.998229742050171	проводка лизингополучатель когда соглашение с лизингодатель передавать имущество другой организация	10	5
Добрый день! Можно подробные формулы и пояснения как руками рассчитать налог на прибыль?	953442	13	533827	Пояснения по налогу на прибыль составьте в произвольной форме. Далее см. https://vip.1gl.ru/#/document/86/600501/actual/	пояснения по налогу на прибыль и ддс	пояснение налог прибыль и ддс	0.992651581764221	можно подробный формула и пояснение рука рассчитать налог прибыль	9	5
Вопрос. Платеж по системе СБП физическому лицу. Нужно ли пробивать чек по онлайн-кассе?	4264533	13	562398	QR-код – обязательный реквизит чека (п. 1 ст. 4.7 Закона от 22.05.2003 № 54-ФЗ). Подробнее см. https://vip.1gl.ru/#/document/86/649946/actual/	нужно ли по онлайн кассе пробивать чеки, ели оплата по ку ар коду	онлайн касса пробивать чек есть оплата ку ар код	0.997031569480896	платеж система сбп физический лицо пробивать чек онлайн касса	9	9
добрый день . нужен образец ходатайство о продлении патента иностранного гражданина образец 2023	2052020	13	527071	Для переоформления патента безвизовый иностранец представляет ходатайство лично или через специализированную организацию в территориальный орган Главного управления по вопросам миграции МВД в составе пакета прочих документов.Документы представляют максимум за 10 рабочих дней до того, как истечет срок первого патента. Подробнее смотрите https://vip.1gl.ru/#/document/118/122835/actual/	ходатайство на продление патента иностранного гражданина	ходатайство продление патент иностранный гражданин	0.998960852622986	образец ходатайство продление патент иностранный гражданин образец 2023	8	5
Добрый день! подскажите пожалуйста КБК по страховым взносам на травматизм в 2023 г	72705	13	563707	В 2023 году налоги и взносы перечисляют на новый КБК единого налогового платежа. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/141658/actual/	кбк страховых взносов на травматизм	кбк страховой взнос травматизм	0.997463762760162	кбк страховой взнос травматизм 2023 г	6	4
Вопрос: проводили спецоценку рабочих мест в 2018г., через какое время необходимо проводить заново?	289033	13	544605	Спецоценку должны организовать и провести все предприятия, где есть хотя бы один работник по трудовому договору. Подробнее см. https://vip.1gl.ru/#/document/16/134814/actual/	как провести спецоценку рабочих мест	проводить спецоценка рабочий место	0.999064266681671	проводить спецоценка рабочий место 2018г какой время необходимо проводить заново	10	4
Добрый день! Компания для сотрудников приобрела абонементы фитнесс клуб, как учесть их ?	3318881	13	498596	Возмещать сотрудникам затраты на занятия спортом в клубах и секциях можно в качестве одного из мероприятий по улучшению охраны и условий труда. Далее см. https://vip.1gl.ru/#/document/16/129342/actual/	абонементы в спорт клуб	абонемент спорт клуб	0.999451041221619	компания сотрудник приобретать абонемент фитнесс клуб учитывать они	8	3
Добрый день. Вопрос по учёту шин ТС в организации. Прошу подсказать документальное оформление.	18969385	13	478508	Состав документов по учету шин зависит от операции. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/407281/actual/	ремонт шин документальное оформление	ремонт шина документальный оформление	0.987961232662201	учет шина тс организация документальный оформление	6	4
У упрощенца есть покупки и реализация с ндс.Декларацию заполнять? Книги регистрировать? НДС платить?	5970815	13	558986	В книге продаж счета-фактуры регистрируют только плательщики НДС (п. 3 ст. 169 НК). Смотрите подробнее https://vip.1gl.ru/#/document/86/643982/actual/	декларация по ндс упрощенцу	декларация ндс упрощенец	0.0554666556417942	упрощенец быть покупка и реализация с ндс декларация заполнять книга регистрировать ндс платить	13	3
При каких условиях мы может принять счёт-фактуру на аванс от поставщика к учёту?	18740308	13	478798	Если покупатель перечисляет аванс, продавец выставляет ему счет-фактуру на полученную сумму. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/74954/actual/	счет фактура на аванс можем не принимать	счет фактура аванс мочь не принимать	0.99125075340271	какой условие мы мочь принимать счет фактура аванс поставщик учет	10	6
Добрый день! Подскажите пожалуйста нужно в справке о стоимости ущерба включать НДС? Спасибо!	1892653	13	457035	Помимо акта на практике составляют справку об ущербе, которая подтвердит размер причиненного ущерба. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/464534/actual/	справка о стоимости ущерба	справка стоимость ущерб	0.999637842178345	справка стоимость ущерб включать ндс спасибо	6	3
