Query	UserId	Lenth	templateId	templateText	etalon	lem_etalon	score	LemQuery	LenQuery	LenEtalon	ShortEtalon	ShortLemEtalon	LenShortEtalon
Добрый день. Как заполнить 6 НДФЛ если есть задолженность по зарплате за 2022 год	322055	14	506888	Срок сдачи 6-НДФЛ и справки о доходах за 2022 год: 27 февраля 2023 года. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/545842/actual/	как заполнить 6 ндфл за 2022 год	заполнять 6 ндфл 2022 год	0.82466721534729	заполнять 6 ндфл быть задолженность зарплата 2022 год	8	5	образец заполнения 6-ндфл за 2022 год	образец заполнение 6 ндфл 2022 год	6
Добрый день. Просьба найти реквизиты для перечисления взносов на обязательное страхование от несчастных случаев	7594240	14	536273	С 1 января 2023 года страховые взносы на травматизм уплачивают в Социальный фонд России. Смотрите подробнее https://vip.1gl.ru/#/document/16/137116/actual/	реквизиты для перечисления взносов на обязательное страхование от несчастных случаев	реквизит перечисление взнос обязательный страхование несчастный случай	0.999633371829987	реквизит перечисление взнос обязательный страхование несчастный случай	7	7	взносы на травматизм реквизиты платежного поручения	взнос травматизм реквизит платежный поручение	5
Доброе утро, можно ли с 2023 года перейти на балансовый метод учета ПБУ 18/02?	746854	14	510379	ПБУ 18/02 не предписывает выводить разницу по каждому активу и обязательству в отдельности. Подробнее смотрите https://vip.1gl.ru/#/document/86/563714/actual/	пбу 18/02 балансовый метод	пбу 18 02 балансовый метод	0.998079121112824	с 2023 год переходить балансовый метод учет пбу 18 02	10	5	как рассчитать временные разницы по пбу 18/02 балансовым методом	рассчитать временный разница пбу 18 02 балансовый метод	8
добрый день! какой срок вынесения решения после того как получили акт по камеральной проверке?	983936	14	13048	Инспекторы должны рассмотреть в этот срок результаты проверки и принять окончательное решение. Далее см. https://vip.1gl.ru/#/document/16/75548/actual/	срок вынесения решения по камеральной проверке	срок вынесение решение камеральный проверка	0.999176740646362	какой срок вынесение решение после получать акт камеральный проверка	9	5	сроки вынесения решений ифнс по камеральным проверкам	срок вынесение решение ифнс камеральный проверка	6
Добрый день. Компания покупает для сотрудников чай, сахар. Можно ли принять НДС к вычету?	20500852	14	544823	Покупку чая, кофе, сахара, сладостей для сотрудников учтите как расходы на оплату труда, если ведете персонифицированный учет доходов. Смотрите подробнее https://vip.1gl.ru/#/document/16/112879/actual/	расходы на чай кофе сахар	расход чай кофе сахар	0.997972249984741	компания покупать сотрудник чай сахар принимать ндс вычет	8	4	как списать кофе в расходы	списывать кофе расход	3
добрый день ,Ю дайте пожалуйста форму приказа о назначении ИО на время отпуска директора	601806	14	37763	Используется для того, чтобы возложить обязанности директора на время его отсутствия (отпуск, болезнь, командировка) на другого сотрудника. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/118/18177/actual/	приказ о назначении ио генерального директора на время отпуска	приказ назначение ио генеральный директор время отпуск	0.999644756317139	ю форма приказ назначение ио время отпуск директор	8	7	приказ об исполнении обязанностей директора на период отпуска	приказ исполнение обязанность директор период отпуск	6
Здравствуйте. Возврат товара от покупателя (качественного и некачественного) Какие документы оформляются при этих случаях?	19319375	14	445042	Возврат товара после приемки. Подробнее смотрите https://vip.1gl.ru/#/document/86/448970/actual/	какими документами оформляется возврат товара от покупателя	какой документ оформляться возврат товар покупатель	0.998192071914673	возврат товар покупатель качественный и некачественный какой документ оформляться этот случай	11	6	возврат товаров покупателем как оформить	возврат товар покупатель оформлять	4
Здравствуйте! Какие документы должны быть оформлены при отправлении в командировку сотрудника на личном автомобиле?	4124612	14	431115	Сотрудник может выехать в командировку как на личном, так и на служебном автомобиле. Смотрите подробнее https://vip.1gl.ru/#/document/16/63244/actual/	какие документы оформить, если сотрудник едет в командировку на личном автомобиле	какой документ оформлять сотрудник ехать командировка личный автомобиль	0.999523639678955	какой документ должный быть оформлять отправление командировка сотрудник личный автомобиль	10	8	командировка на чужом автомобиле	командировка чужой автомобиль	3
Добрый день! Входит ли в состав накладных расходов в строительстве покупка спецодежды для рабочих?	7522261	14	542981	Расходы на покупку автомобиля включите в первоначальную стоимость основного средства. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/580894/actual/	входит ли в расход покупка легкового автомобиля при усн	входить ли расход покупка легковой автомобиль усна	0.0118509121239185	входить ли состав накладный расход строительство покупка спецодежда рабочий	9	7	покупка автомобиля при усн 15%	покупка автомобиль усна 15	4
Добрый день. Можно ли заключить агентский договор с самозанятым (налогоплательщик налога на профессиональный доход)	10899032	14	503168	На спецрежим «Налог на профессиональный доход» вправе перейти россияне, иностранные граждане из стран — участниц ЕАЭС и граждане Украины (п. 2–3 ст. 5 Закона от 27.11.2018 № 422-ФЗ). Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/547917/actual/	налогоплательщики налога на профессиональный доход	налогоплательщик налог профессиональный доход	0.999742090702057	заключать агентский договор с самозанимать налогоплательщик налог профессиональный доход	9	4	как стать самозанятым и платить налог на проф доход	становиться самозанимать и платить налог проф доход	7
Добрый день. Нужно ли составлять путевой лист для автопогрузчика, который передвигается по складу организации?	14030603	14	553015	В рекомендации — инструкция как заполнить путевой лист с образцами для каждого случая. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/139964/actual/	путевые листы на лизинговый автопогрузчик 2023 год	путевой лист лизинговый автопогрузчик 2023 год	0.998976588249207	составлять путевой лист автопогрузчик который передвигаться склад организация	8	6	инструкция заполнения путевых листов что пишем d расход по норме	инструкция заполнение путевой лист писать d расход норма	8
как оформить предоставление займа организации , если единственный учредитель и генеральный директор одно лицо	18368554	14	479039	Юридическое лицо должно заключить договор займа в письменной форме. Смотрите подробнее https://vip.1gl.ru/#/document/16/126744/actual/	займ учредителя если учредитель и директор одно лицо	заем учредитель учредитель и директор один лицо	0.995072901248932	оформлять предоставление заем организация единственный учредитель и генеральный директор один лицо	11	7	займ от учредителя ип	заем учредитель ипать	3
Добрый день. Какие проводки надо использовать в бухгалтерском учете, если автомобиль купили в лизинг?	618516	14	530939	Лизингополучатель (арендатор) признает не предмет аренды – автомобиль, а право пользования им. По ФСБУ 25/2018 учитывается объект аренды – договор. Далее см. https://vip.1gl.ru/#/document/86/595029/actual/	как поставить на учет в бухгалтерском учете ,купленная в лизинг автомобиль	поставлять учет бухгалтерский учет купить лизинг автомобиль	0.999543428421021	какой проводка надо использовать бухгалтерский учет автомобиль купить лизинг	9	7	купили автомобиль в лизинг баланса	купить автомобиль лизинг баланс	4
Добрый день. Подскажите, пожалуйста. какую сумму НДФЛ в уведомлении енп указывать: начисленную или уплаченную?	17676552	14	552427	В каждом месяце свой перечень налогов и взносов, по которым нужно сдать уведомление. Далее см. https://vip.1gl.ru/#/document/16/139905/actual/	какую сумму ндфл указывать в уведомлении по енп за февраль	какой сумма ндфл указывать уведомление енп февраль	0.991400718688965	какой сумма ндфл уведомление енп указывать начислять или уплачивать	9	7	уведомление по сроку 25 февраля	уведомление срок 25 февраль	4
нужно ли подавать уведомление за 2 квартал по УСН(15%), если за полугодие уменьшение налога	6236371	14	552478	По итогам отчетного периода авансовый платеж по УСН может быть меньше суммы авансов за предыдущие отчетные периоды, поэтому возникает сумма платежа к уменьшению. Далее см. https://vip.1gl.ru/#/document/86/631885/actual/	как подать уведомление по усн за 2 квартал если сумма налога к уменьшению	подавать уведомление усна 2 квартал сумма налог уменьшение	0.998095750808716	подавать уведомление 2 квартал усна 15 полугодие уменьшение налог	9	8	на отрицательную сумму авансового платежа к уменьшению (письмо фнс от 10.07.2023 № сд-4-3/8716@)	отрицательный сумма авансовый платеж уменьшение письмо фнс 10 07 2023 сд 4 3 8716	14
Подскажите, где в НК прописано, что счет-фактура на аванс должна быть привязана к оплатам?	18435993	14	478798	Если покупатель перечисляет аванс, продавец выставляет ему счет-фактуру на полученную сумму. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/74954/actual/	что должно быть прописано в счет фактуре на аванс	должно быть прописывать счет фактура аванс	0.996632218360901	где нк прописывать счет фактура аванс должный быть привязывать оплата	10	6	оформление счетов фактур на аванс	оформление счет фактура аванс	4
Добрый день. Начисляется ли НДФЛ на компенсацию использование работником личного автомобиля для служебных целей	4719125	14	522161	Сумму компенсации за использование автомобиля и иного имущества в служебных целях не отражайте в 6-НДФЛ, если размер такой компенсации согласовали работодатель и сотрудник. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/133564/actual/	компенсация за использование личного автомобиля в служебных целях в 6-ндфл	компенсация использование личный автомобиль служебный цель 6 ндфл	0.149453282356262	начисляться ли ндфл компенсация использование работник личный автомобиль служебный цель	10	8	в 6-ндфл компенсацию за использование личного автомобиля в пределах нормы	6 ндфл компенсация использование личный автомобиль предел норма	8
Скажите пожалуйста, по каким реквизитам перечислять взносы на травматизм по Мо, г. Истра.	745653	13	536273	С 1 января 2023 года страховые взносы на травматизм уплачивают в Социальный фонд России. Смотрите подробнее https://vip.1gl.ru/#/document/16/137116/actual/	по каким реквизитам перечислять страховые взносы на травматизм	какой реквизит перечислять страховой взнос травматизм	0.998568773269653	какой реквизит перечислять взнос травматизм мо г истра	8	6	реквизиты для оплаты взносов от нс и пз в 2023 году	реквизит оплата взнос нс и пз 2023 год	8
Добрый день! Подскажите, до какой предельной суммы начисления применяются вычеты НДФЛ за ребенка?	1713901	13	550440	Стандартный вычет на ребенка предоставляйте до месяца, в котором доходы, полученные сотрудником с начала года, превысят 350 000 руб. Считайте только доходы резидентов, к которым применяют стандартный вычет. Подробнее в материале https://vip.1gl.ru/#/document/86/627606/actual/	предельная сумма вычетов на детей	предельный сумма вычет ребенок	0.998475074768066	какой предельный сумма начисление применяться вычет ндфл ребенок	8	4	вычеты на детей лимит	вычет ребенок лимит	3
Может ли компания принять расходы по текущему ремонту арендованного автомобиля в налоговом учете	12843887	13	496664	В рамках договора аренды арендатор может проводить текущий и капитальный ремонт. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/129003/actual/	расходы на ремонт арендованного автомобиля	расход ремонт арендовать автомобиль	0.999664545059204	компания принимать расход текущий ремонт арендовать автомобиль налоговый учет	9	4	ремонт техники за счет арендодателя	ремонт техника счет арендодатель	4
как отразить беспроцентный займ от организации в другую организацию в бу и ну?	12717601	13	540438	Беспроцентный денежный заем можно выдать как организации, так и физлицу, в том числе директору и иному сотруднику, собственнику бизнеса. Подробнее см. https://vip.1gl.ru/#/document/86/610537/actual/	может ли организация предоставить займ беспроцентный другой организации	организация предоставлять заем беспроцентный другой организация	0.999642252922058	отражать беспроцентный заем организация другой организация бу и ну	9	6	займа от физлица сумма беспроцентный	заем физлицо сумма беспроцентный	4
добрый день, вопрос следующий , все ли детские товары попадают под ндс 10%	5863340	13	528896	При реализации на внутреннем рынке и при ввозе (импорте) ряда товаров применяют ставку НДС 10 процентов. Далее см. https://vip.1gl.ru/#/document/86/594021/actual/	ндс 10% на детские товары	ндс 10 детский товар	0.994951367378235	весь ли детский товар попадать ндс 10	7	4	перечень товаров подлежащих 10% ндс	перечень товар подлежать 10 ндс	5
Добрый день! УСН доходы , какая налоговая ставка для ИП в Элисте ?	20235820	13	503982	Ставки налога на упрощенке зависят от объекта налогообложения, региона и категории налогоплательщика, величины дохода и численности работников. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/130461/actual/	налоговая ставка усн доходы - расходы	налоговый ставка усна доход расход	0.997463703155518	усна доход какой налоговый ставка ипать элиста	7	5	ставка налога усн доход минус расход на 2023 год	ставка налог усна доход минус расход 2023 год	8
Может ли директор дать ООО беспроцентный займ наличными средствами? Как это правильно оформить?	768024	13	540438	Беспроцентный денежный заем можно выдать как организации, так и физлицу, в том числе директору и иному сотруднику, собственнику бизнеса. Подробнее см. https://vip.1gl.ru/#/document/86/610537/actual/	может ли ооо дать займ беспроцентный сотруднику	ооо давать заем беспроцентный сотрудник	0.999558866024017	директор давать ооо беспроцентный заем наличный средство это правильно оформлять	10	5	займ сотруднику беспроцентный обложение налогами	заем сотрудник беспроцентный обложение налог	5
Добрый день! Какой период с момента открытия организации директор может работать без зарплаты?	18651254	13	511933	Если директор работает в компании по трудовому договору, ему нужно платить зарплату. Подробнее в материале https://vip.1gl.ru/#/document/86/565908/actual/	может ли директор работать без зарплаты	директор работать без зарплата	0.998542368412018	какой период с момент открытие организация директор мочь работать без зарплата	11	4	расчет по страховым взносам раздел 3 ген.директор не получает зарплату	расчет страховой взнос раздел 3 ген директор не получать зарплата	10
Добрый день! Как можно сдать декларации по УСН или ЕСХН при закрытии ИП?	5235588	13	445533	В НК прямо не установлено, в какие сроки представлять декларацию по УСН при ликвидации организации и закрытии ИП, поэтому можно самим решить, в какой срок сдать отчет. Подробнее в материале https://vip.1gl.ru/#/document/86/460554/actual/	когда нужно сдать декларацию по усн при закрытии ип	когда сдавать декларация усна закрытие ипать	0.99712210893631	можно сдавать декларация усна или есхн закрытие ипать	8	6	декларация по усн при прекращении деятельности ип	декларация усна прекращение деятельность ипать	5
Здравствуйте, как платить аванс если сотрудник был в отпуске в первой половине месяца?	6318566	13	500889	Выплатите сотруднику зарплату за первую половину за отработанное время. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/12/453414/actual/	можно ли платить аванс если сотрудник был первую половину в отпуске	платить аванс сотрудник быть первый половина отпуск	0.999289810657501	платить аванс сотрудник быть отпуск первый половина месяц	8	7	нужно ли рассчитывать командировочные в аванс	рассчитывать командировочный аванс	3
Добрый день, может ли работодатель возместить сотруднику оплату за абонемент в фитнесс зал?	9647800	13	498599	Компенсацию расходов сотрудников на занятия спортом в клубах или секциях не учитывайте при расчете налога на прибыль. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/537327/actual/	налогообложение абонементов в спорт зал	налогообложение абонемент спорт зал	0.999589562416077	работодатель возмещать сотрудник оплата абонемент фитнесс зал	7	4	расходы на фитнес сотрудникам с 2022 года в налоговом учете	расход фитнес сотрудник с 2022 год налоговый учет	8
добрый день вопрос кто и как проводит проверку на обесценение запасов и ОС	17421440	13	547156	Проверять на обесценение товары, готовую продукцию, материалы и незавершенку на конец года, а также перед промежуточной отчетностью должны все компании, кроме тех, у кого право на упрощенный бухучет. Подробнее смотрите https://vip.1gl.ru/#/document/16/138953/actual/	проведение проверки на обесценение запасов и ос	проведение проверка обесценение запас и ос	0.999410390853882	кто и проводить проверка обесценение запас и ос	8	6	обесценение готовой продукции продажа	обесценение готовый продукция продажа	4
Доброе утро. Как пересдать корректирующий отчёт по рсв. Был указан не правильный снилс	471463	13	531935	Уточненный РСВ сдавайте по той же форме, что и первичный. Далее см. https://vip.1gl.ru/#/document/16/136398/actual/	корректировка рсв неверно указан снилс работника	корректировка рсв неверно указывать снилс работник	0.999273657798767	пересдавать корректировать отчет рсв быть указывать не правильный снилс	9	6	пример корректировка по страховым взносам рсв	пример корректировка страховой взнос рсв	5
Здравствуйте! Нужно ли подтверждать ежегодно вычеты на детей, обучающиеся в высшем учебном заведении?	287977	13	464479	Чтобы получить стандартный вычет по НДФЛ на ребенка, сотрудник должен написать заявление, а также представить документы, подтверждающие право на вычет. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/111535/actual/	нужно ли ежегодно подтверждать вычет на детей документами	ли ежегодно подтверждать вычет ребенок документ	0.999329328536987	подтверждать ежегодно вычет ребенок обучающийся высокий учебный заведение	8	6	документы подтверждающие право на вычет на детей	документ подтверждать право вычет ребенок	5
проводки у лизингополучателя, когда по соглашению с лизингодателем передает имущество в другую организацию	6424928	13	542970	Лизингополучатель признает объект аренды как актив по дебету счета 01 субсчет «Право пользования активом» с одновременным учетом обязательства по аренде по кредиту счета 76. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/615139/actual/	лизинг на балансе лизингодателя проводки у лизингополучателя	лизинг баланс лизингодатель проводка лизингополучатель	0.998229742050171	проводка лизингополучатель когда соглашение с лизингодатель передавать имущество другой организация	10	5	лизинг на балансе лизингодателя учет у лизингополучателя проводки	лизинг баланс лизингодатель учет лизингополучатель проводка	6
Добрый день! Можно подробные формулы и пояснения как руками рассчитать налог на прибыль?	953442	13	533827	Пояснения по налогу на прибыль составьте в произвольной форме. Далее см. https://vip.1gl.ru/#/document/86/600501/actual/	пояснения по налогу на прибыль и ддс	пояснение налог прибыль и ддс	0.992651581764221	можно подробный формула и пояснение рука рассчитать налог прибыль	9	5	пояснение в налоговую о снижении прибыли	пояснение налоговый снижение прибыль	4
добрый день . нужен образец ходатайство о продлении патента иностранного гражданина образец 2023	2052020	13	527071	Для переоформления патента безвизовый иностранец представляет ходатайство лично или через специализированную организацию в территориальный орган Главного управления по вопросам миграции МВД в составе пакета прочих документов.Документы представляют максимум за 10 рабочих дней до того, как истечет срок первого патента. Подробнее смотрите https://vip.1gl.ru/#/document/118/122835/actual/	ходатайство на продление патента иностранного гражданина	ходатайство продление патент иностранный гражданин	0.998960852622986	образец ходатайство продление патент иностранный гражданин образец 2023	8	5	ходатайство о переоформлении патента иностранному гражданину	ходатайство переоформление патент иностранный гражданин	5
Вопрос: проводили спецоценку рабочих мест в 2018г., через какое время необходимо проводить заново?	289033	13	544605	Спецоценку должны организовать и провести все предприятия, где есть хотя бы один работник по трудовому договору. Подробнее см. https://vip.1gl.ru/#/document/16/134814/actual/	как провести спецоценку рабочих мест	проводить спецоценка рабочий место	0.999064266681671	проводить спецоценка рабочий место 2018г какой время необходимо проводить заново	10	4	для каких работников спецоценку проводят по особым правилам	какой работник спецоценка проводить особый правило	6
Добрый день! Компания для сотрудников приобрела абонементы фитнесс клуб, как учесть их ?	3318881	13	498596	Возмещать сотрудникам затраты на занятия спортом в клубах и секциях можно в качестве одного из мероприятий по улучшению охраны и условий труда. Далее см. https://vip.1gl.ru/#/document/16/129342/actual/	абонементы в спорт клуб	абонемент спорт клуб	0.999451041221619	компания сотрудник приобретать абонемент фитнесс клуб учитывать они	8	3	расходы на фитнес и спорт	расход фитнес и спорт	4
Добрый день. Вопрос по учёту шин ТС в организации. Прошу подсказать документальное оформление.	18969385	13	478508	Состав документов по учету шин зависит от операции. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/407281/actual/	ремонт шин документальное оформление	ремонт шина документальный оформление	0.987961232662201	учет шина тс организация документальный оформление	6	4	замена шин документы	замена шина документ	3
При каких условиях мы может принять счёт-фактуру на аванс от поставщика к учёту?	18740308	13	478798	Если покупатель перечисляет аванс, продавец выставляет ему счет-фактуру на полученную сумму. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/16/74954/actual/	счет фактура на аванс можем не принимать	счет фактура аванс мочь не принимать	0.99125075340271	какой условие мы мочь принимать счет фактура аванс поставщик учет	10	6	несвоевременное закрытие счет фактуры на аванс	несвоевременный закрытие счет фактура аванс	5
Добрый день! Подскажите пожалуйста нужно в справке о стоимости ущерба включать НДС? Спасибо!	1892653	13	457035	Помимо акта на практике составляют справку об ущербе, которая подтвердит размер причиненного ущерба. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/464534/actual/	справка о стоимости ущерба	справка стоимость ущерб	0.999637842178345	справка стоимость ущерб включать ндс спасибо	6	3	как составить справку об ущербе в полиции	составлять справка ущерб полиция	4
Добрый день! Автомобиль в лизинге. Расходы на содержание автомобиля уменьшают налог на прибыль?	9356784	13	516691	В бухучете затраты на содержание служебного автомобиля по общему правилу формируют расходы, связанные с обычными видами деятельности (п. 5 и 7 ПБУ 10). Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/573513/actual/	расходы на содержания автомобиля	расход содержание автомобиль	0.83790385723114	автомобиль лизинг расход содержание автомобиль уменьшать налог прибыль	8	3	об утверждении рекомендаций по расходу топлива машинами для содержания, ремонта автомобильных дорог и объектов внешнего благоустройства поселений	утверждение рекомендация расход топливо машина содержание ремонт автомобильный дорога и объект внешний благоустройство поселение	14
Добрый день , какой отчет надо сдавать в военкоматы , если мы ООО	8708357	13	550202	Дополнительные отчеты о воинском учете и бронировании в 2023 году. Вот ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/627312/actual/	какие отчеты надо сдавать в военкомат	какой отчет надо сдавать военкомат	0.987806081771851	какой отчет надо сдавать военкомат мы ооо	7	5	новый отчет в военкомат	новый отчет военкомат	3
Добрый вечер! Подскажите проводки по начислению недоимки по итогам выездной проверки по НДС.	13231787	13	527018	Ошибки в бухучете могут привести к недоплате налогов. Ссылка по вашему вопросу https://vip.1gl.ru/#/document/86/589814/actual/	как учесть недоимку и штраф по итогам налоговой проверки	учитывать недоимка и штраф итог налоговый проверка	0.998759150505066	проводка начисление недоимка итог выездной проверка ндс	7	7	как учесть недоимку и штраф по итогам налоговой проверки	учитывать недоимка и штраф итог налоговый проверка	7
Здравствуйте! Принимаются ли расходы на страхование ОСАГО транспортного средства (экскаватора) при УСН доходы-расходы?	8243619	13	497997	При УСН с объектом «доходы» авансовый платеж и налог уменьшают на обязательные взносы на пенсионное, медицинское и социальное страхование работников (подп. 1 п. 3.1 ст. 346.21 НК). Читайте подробнее https://vip.1gl.ru/#/document/86/535830/actual/	расходы на страхования авто осаго принимаются в усн	расход страхование авто осаго приниматься усна	0.996906995773315	приниматься ли расход страхование осаго транспортный средство экскаватор усна доход расход	11	6	расходы на страхование по усн	расход страхование усна	3
Есть ли предельная сумма отчислений в резерв на оплату отпусков в налоговом учете	1619525	13	426860	Расчет ежемесячного процента отчислений в резерв предстоящих расходов на оплату отпусков прописан в абзаце 2 пункта 1 статьи 324.1 НК. Далее см. https://vip.1gl.ru/#/document/86/314974/actual/	предельная сумма отчислений в резерв по отпускам	предельный сумма отчисление резерв отпуск	0.998821139335632	предельный сумма отчисление резерв оплата отпуск налоговый учет	8	5	предельная величина резервов по отпускам	предельный величина резерв отпуск	4
Добрый день! Как подать корректировку в уведомлении, если изменилась сумма налога ( уменьшилась)	7997305	13	552424	При ошибке в уведомлении об исчисленных налогах и взносах, направьте в налоговую инспекцию новое уведомление с верными реквизитами. Далее читайте https://vip.1gl.ru/#/document/86/631835/actual/	как подать корректировку уведомления об исчисленных суммах налогов	подавать корректировка уведомление исчислять сумма налог	0.995652318000793	подавать корректировка уведомление изменяться сумма налог уменьшаться	7	6	уведомление енп уточнить	уведомление енп уточнять	3
Можно ли включить транспортные расходы по доставке основного средства в расходы текущего периода,	7741197	13	478674	Учет транспортных расходов зависит от нескольких факторов. Подробнее смотрите https://vip.1gl.ru/#/document/16/121357/actual/	отражение транспортных расходов по доставке	отражение транспортный расход доставка	0.999257385730743	включать транспортный расход доставка основный средство расход текущий период	9	4	транспортные расходы списываются в расходы	транспортный расход списываться расход	4
